,type,strike,bid,ask,iv,volume,oi,mid,expiry,dte
0,call,525.0,212.01,214.81,0.9804689453125001,,7,213.41,2026-05-26,9
1,call,580.0,157.09,159.89,0.7402369726562499,,2,158.49,2026-05-26,9
2,call,600.0,137.12,139.92,0.6550327465820314,2.0,0,138.51999999999998,2026-05-26,9
3,call,670.0,67.3,70.11,0.3657289990234375,1.0,5,68.705,2026-05-26,9
4,call,675.0,62.33,65.14,0.34570966796874997,1.0,0,63.735,2026-05-26,9
5,call,680.0,57.38,60.18,0.32605654418945307,1.0,0,58.78,2026-05-26,9
6,call,685.0,52.43,55.21,0.3053047985839844,,2,53.82,2026-05-26,9
7,call,690.0,47.5,50.31,0.28833719482421866,1.0,0,48.905,2026-05-26,9
8,call,693.0,44.56,47.37,0.27771718383789057,,2,45.965,2026-05-26,9
9,call,694.0,43.59,46.39,0.2740551110839844,,3,44.99,2026-05-26,9
10,call,695.0,42.61,45.42,0.2710033837890625,1.0,6,44.015,2026-05-26,9
11,call,698.0,39.68,42.49,0.2601392346191406,,3,41.085,2026-05-26,9
12,call,700.0,37.74,40.56,0.2538526763916016,10.0,4,39.150000000000006,2026-05-26,9
13,call,701.0,36.78,39.59,0.2503737072753906,1.0,1,38.185,2026-05-26,9
14,call,702.0,35.82,38.61,0.24634542724609376,,1,37.215,2026-05-26,9
15,call,707.0,31.05,33.82,0.23011023803710937,,1,32.435,2026-05-26,9
16,call,708.0,30.1,32.88,0.22736368347167968,,6,31.490000000000002,2026-05-26,9
17,call,709.0,29.16,31.97,0.22565471618652344,1.0,0,30.564999999999998,2026-05-26,9
18,call,710.0,28.23,31.04,0.2230302307128906,4.0,6,29.634999999999998,2026-05-26,9
19,call,712.0,27.51,27.96,0.16577982666015628,,3,27.735,2026-05-26,9
20,call,713.0,26.6,27.04,0.1651694812011719,,1,26.82,2026-05-26,9
21,call,715.0,24.79,25.23,0.16431499755859375,6.0,7,25.009999999999998,2026-05-26,9
22,call,716.0,23.89,24.34,0.16394879028320314,1.0,0,24.115000000000002,2026-05-26,9
23,call,718.0,22.14,22.54,0.16138533935546873,3.0,0,22.34,2026-05-26,9
24,call,719.0,21.28,21.67,0.1607749938964844,1.0,0,21.475,2026-05-26,9
25,call,720.0,20.42,20.8,0.15979844116210937,5.0,10,20.61,2026-05-26,9
26,call,721.0,19.57,19.94,0.1588218884277344,,16,19.755000000000003,2026-05-26,9
27,call,722.0,18.73,19.08,0.1575401629638672,,4,18.905,2026-05-26,9
28,call,723.0,17.9,18.28,0.1577232666015625,1.0,5,18.09,2026-05-26,9
29,call,725.0,16.3,16.63,0.1554039538574219,26.0,41,16.465,2026-05-26,9
30,call,726.0,15.5,15.83,0.15436636657714847,1.0,5,15.665,2026-05-26,9
31,call,727.0,14.71,15.03,0.15302360656738284,,1,14.870000000000001,2026-05-26,9
32,call,728.0,13.94,14.3,0.15302360656738284,20.0,27,14.120000000000001,2026-05-26,9
33,call,729.0,13.21,13.51,0.15119257019042973,2.0,21,13.36,2026-05-26,9
34,call,730.0,12.48,12.79,0.1506432592773438,261.0,516,12.635,2026-05-26,9
35,call,731.0,11.74,12.07,0.14966670654296876,22.0,8,11.905000000000001,2026-05-26,9
36,call,732.0,10.97,11.5,0.15161981201171876,54.0,24,11.235,2026-05-26,9
37,call,733.0,10.28,10.83,0.15088739746093754,,40,10.555,2026-05-26,9
38,call,734.0,9.6,10.0,0.14630980651855469,5.0,48,9.8,2026-05-26,9
39,call,735.0,9.08,9.5,0.1484154983520508,53.0,356,9.29,2026-05-26,9
40,call,736.0,8.44,8.71,0.1439294592285156,21.0,22,8.575,2026-05-26,9
41,call,737.0,7.98,8.04,0.14154911193847658,150.0,82,8.01,2026-05-26,9
42,call,738.0,7.4,7.45,0.14041997283935548,62.0,156,7.425000000000001,2026-05-26,9
43,call,739.0,6.84,6.89,0.13941290283203128,302.0,105,6.865,2026-05-26,9
44,call,740.0,6.3,6.35,0.13834479827880858,835.0,213,6.324999999999999,2026-05-26,9
45,call,741.0,5.78,5.83,0.1371851419067383,1119.0,53,5.805,2026-05-26,9
46,call,742.0,5.29,5.34,0.13617807189941405,928.0,252,5.3149999999999995,2026-05-26,9
47,call,743.0,4.82,4.87,0.135048932800293,825.0,145,4.845000000000001,2026-05-26,9
48,call,744.0,4.38,4.43,0.13404186279296876,262.0,478,4.404999999999999,2026-05-26,9
49,call,745.0,3.96,4.01,0.13294324096679688,397.0,400,3.985,2026-05-26,9
50,call,746.0,3.57,3.61,0.13172255004882813,299.0,245,3.59,2026-05-26,9
51,call,747.0,3.2,3.24,0.130593410949707,357.0,216,3.22,2026-05-26,9
52,call,748.0,2.86,2.9,0.1295863409423828,237.0,209,2.88,2026-05-26,9
53,call,749.0,2.54,2.58,0.12851823638916016,304.0,457,2.56,2026-05-26,9
54,call,750.0,2.25,2.28,0.12732806274414063,2857.0,1204,2.2649999999999997,2026-05-26,9
55,call,751.0,1.98,2.02,0.12659564819335936,157.0,372,2.0,2026-05-26,9
56,call,752.0,1.74,1.77,0.12549702636718751,218.0,327,1.755,2026-05-26,9
57,call,753.0,1.52,1.55,0.12464254272460937,298.0,271,1.5350000000000001,2026-05-26,9
58,call,754.0,1.32,1.35,0.12378805908203125,582.0,231,1.335,2026-05-26,9
59,call,755.0,1.14,1.17,0.12293357543945313,516.0,436,1.1549999999999998,2026-05-26,9
60,call,756.0,0.97,1.0,0.12177391906738282,199.0,142,0.985,2026-05-26,9
61,call,757.0,0.83,0.86,0.1211025390625,646.0,148,0.845,2026-05-26,9
62,call,758.0,0.71,0.73,0.12012598632812499,293.0,84,0.72,2026-05-26,9
63,call,759.0,0.6,0.62,0.11939357177734375,152.0,76,0.61,2026-05-26,9
64,call,760.0,0.5,0.53,0.11902736450195311,367.0,476,0.515,2026-05-26,9
65,call,761.0,0.42,0.44,0.11805081176757812,80.0,214,0.43,2026-05-26,9
66,call,762.0,0.35,0.37,0.11756253540039063,161.0,54,0.36,2026-05-26,9
67,call,763.0,0.29,0.31,0.11707425903320312,293.0,37,0.3,2026-05-26,9
68,call,764.0,0.24,0.26,0.11683012084960936,134.0,56,0.25,2026-05-26,9
69,call,765.0,0.2,0.21,0.1157314990234375,507.0,191,0.20500000000000002,2026-05-26,9
70,call,766.0,0.16,0.17,0.11499908447265625,381.0,132,0.165,2026-05-26,9
71,call,767.0,0.13,0.14,0.1147549462890625,5.0,14,0.135,2026-05-26,9
72,call,768.0,0.11,0.12,0.11524322265625,20.0,58,0.11499999999999999,2026-05-26,9
73,call,769.0,0.09,0.1,0.11524322265625,74.0,216,0.095,2026-05-26,9
74,call,770.0,0.07,0.08,0.1147549462890625,220.0,93,0.07500000000000001,2026-05-26,9
75,call,771.0,0.06,0.07,0.1157314990234375,15.0,52,0.065,2026-05-26,9
76,call,772.0,0.05,0.06,0.116219775390625,93.0,16,0.055,2026-05-26,9
77,call,773.0,0.04,0.05,0.116219775390625,73.0,27,0.045,2026-05-26,9
78,call,774.0,0.04,0.05,0.11914943359374999,3.0,182,0.045,2026-05-26,9
79,call,775.0,0.03,0.04,0.11914943359374999,393.0,613,0.035,2026-05-26,9
80,call,780.0,0.02,0.03,0.1289149609375,1146.0,1323,0.025,2026-05-26,9
81,call,785.0,0.01,0.02,0.13672738281250002,251.0,27,0.015,2026-05-26,9
82,call,790.0,0.01,0.02,0.148446015625,196.0,70,0.015,2026-05-26,9
83,call,795.0,0.01,0.02,0.16211775390625,250.0,328,0.015,2026-05-26,9
84,call,800.0,0.01,0.02,0.17383638671875,167.0,253,0.015,2026-05-26,9
85,call,805.0,0.01,0.02,0.18555501953124998,3.0,6,0.015,2026-05-26,9
86,call,810.0,0.01,0.02,0.19727365234375,25.0,13,0.015,2026-05-26,9
